,animal_id,cell_id,cell_layer,cell_type_gene,cell_type_morph,delay_off,delay_on,fr_off,fr_on,injection_id,slice_id
0,2704,3,L23,pyr,pyr,34.64266666666666,33.89866666666667,66.66666666666667,93.33333333333333,1,1
1,2704,2,L23,pyr,pyr,39.44363636363636,40.621818181818185,27.272727272727273,63.63636363636363,1,2
2,2704,2,L23,pyr,pyr,35.70352941176471,128.8235294117647,52.94117647058823,82.3529411764706,1,3
3,2899,2,L23,pyr,pyr,30.625714285714285,44.294285714285714,85.71428571428571,100.0,1,1
4,2899,7,L23,pyr,pyr,45.75428571428572,36.04571428571428,42.857142857142854,71.42857142857143,1,1
5,2899,2,L23,pyr,pyr,38.756,43.204,40.0,80.0,1,2
6,2899,7,L23,pyr,pyr,29.944,30.988,30.0,50.0,1,2
7,3019,2,L23,pyr,pyr,62.18666666666666,121.36,22.22222222222222,55.55555555555556,1,2
8,3019,7,L23,pyr,pyr,46.698461538461544,107.46564102564102,38.46153846153846,56.41025641025641,1,2
9,3109,2,L23,pyr,pyr,110.56,125.915,18.75,81.25,1,1
10,3109,7,L23,pyr,pyr,41.318,42.284,40.0,60.0,1,1
11,3109,7,L23,pyr,pyr,164.89230769230772,105.08923076923075,38.46153846153846,84.61538461538461,1,2
12,3109,7,L23,pyr,pyr,44.099999999999994,91.19818181818181,40.90909090909091,86.36363636363636,1,3
13,3138,2,L23,pyr,pyr,41.234,45.404,45.0,50.0,1,1
14,3138,7,L23,pyr,pyr,41.68444444444444,93.76,50.0,66.66666666666667,1,1
15,3138,2,L23,pyr,pyr,39.911111111111104,58.346666666666664,55.55555555555556,44.44444444444444,1,2
16,3138,7,L23,pyr,pyr,42.96,160.0,0.0,100.0,1,2
17,3288,2,L23,pyr,pyr,48.470000000000006,160.26,0.0,75.0,1,1
18,3288,7,L23,pyr,pyr,81.7,123.26,0.0,50.0,1,1
19,3288,2,L23,pyr,pyr,78.72,199.36,0.0,100.0,1,2
20,3288,7,L23,pyr,pyr,69.95,187.98,25.0,50.0,1,2
21,3349,2,L23,pyr,pyr,80.7,77.14,16.666666666666668,50.0,1,1
22,3349,2,L23,pyr,pyr,35.948,43.403999999999996,60.0,20.0,1,2
23,3349,2,L23,pyr,pyr,57.33500000000001,53.405,25.0,0.0,1,3
24,6945,2,L23,pyr,pyr,47.694736842105264,44.88000000000001,52.63157894736842,57.89473684210526,1,3
25,7721,7,L23,pyr,pyr,40.29473684210526,42.20210526315789,31.57894736842105,36.8421052631579,1,1
26,19465,1,L23,pyr,pyr,54.068,140.40400000000002,30.0,70.0,1,1
27,19465,2,L23,pyr,pyr,55.01714285714286,126.14285714285715,57.142857142857146,85.71428571428571,1,1
28,19465,3,L23,pyr,pyr,55.34400000000001,150.496,20.0,80.0,1,1
29,19465,6,L23,pyr,pyr,47.291999999999994,42.94,40.0,60.0,1,1
30,19465,8,L23,pyr,pyr,68.124,62.156000000000006,20.0,50.0,1,1
31,19465,10,L23,pyr,pyr,39.23555555555556,45.053333333333335,33.333333333333336,33.333333333333336,1,1
32,19467,4,L23,pyr,pyr,46.62222222222222,201.94666666666666,44.44444444444444,88.88888888888889,1,1
33,19467,5,L23,pyr,pyr,43.776,158.844,70.0,60.0,1,1
34,19467,10,L23,pyr,pyr,51.212,78.78799999999998,30.0,60.0,1,1
35,19467,13,L23,pyr,pyr,47.51199999999999,96.328,40.0,50.0,1,1
36,19662,3,L23,pyr,pyr,52.89,102.69,0.0,100.0,1,1
37,19662,4,L23,pyr,pyr,49.652,61.23599999999999,40.0,80.0,1,1
38,19663,1,L23,pyr,pyr,52.00307692307693,113.12923076923076,15.384615384615385,30.76923076923077,1,1
39,19854,1,L23,pyr,pyr,59.57714285714286,111.29714285714286,14.285714285714286,28.571428571428573,1,1
40,19854,15,L23,pyr,pyr,42.896,62.8,0.0,100.0,1,1
41,19855,3,L23,pyr,pyr,59.230000000000004,75.125,37.5,12.5,1,1
42,19855,4,L23,pyr,pyr,47.74153846153846,69.15692307692308,23.076923076923077,38.46153846153846,1,1
43,19855,5,L23,pyr,pyr,33.870000000000005,36.41,50.0,62.5,1,1
