,animal_id,cell_id,cell_layer,cell_type_gene,cell_type_morph,delay_off,delay_on,fr_off,fr_on,injection_id,slice_id
0,19049,8,L4,pyr,pyr,50.29066666666666,47.64800000000001,20.0,40.0,1,1
1,19049,9,L4,pyr,pyr,55.44571428571428,59.95428571428571,42.857142857142854,14.285714285714286,1,1
2,19159,17,L4,pyr,pyr,46.44266666666667,62.994666666666674,40.0,46.666666666666664,1,2
3,19159,18,L4,pyr,pyr,34.294117647058826,34.28941176470588,58.8235294117647,58.8235294117647,1,2
4,19159,19,L4,pyr,pyr,42.31333333333333,37.65333333333333,8.333333333333334,41.666666666666664,1,2
5,19159,23,L4,pyr,pyr,62.63111111111112,46.28,33.333333333333336,33.333333333333336,1,2
