,animal_id,cell_id,cell_layer,cell_type_gene,cell_type_morph,delay_off,delay_on,fr_off,fr_on,injection_id,slice_id
0,13640,3,L5,pyr,pyr,41.74461538461538,36.2,30.76923076923077,76.92307692307692,1,3
1,13640,6,L5,pyr,pyr,32.947692307692314,30.58461538461538,69.23076923076923,69.23076923076923,1,3
2,14789,3,L5,pyr,pyr,32.53142857142857,13.422857142857143,35.714285714285715,135.71428571428572,1,1
3,14789,6,L5,pyr,pyr,32.35142857142858,25.745714285714286,42.857142857142854,78.57142857142857,1,1
4,14789,7,L5,pyr,pyr,36.857142857142854,21.937142857142856,21.428571428571427,142.85714285714286,1,1
5,14796,2,L5,pyr,pyr,46.51157894736842,43.55157894736842,21.05263157894737,100.0,1,1
6,19049,2,L5,pyr,pyr,57.08,138.01,50.0,75.0,1,1
7,19049,6,L5,pyr,pyr,56.49428571428571,66.61999999999999,7.142857142857143,92.85714285714286,1,1
8,19159,4,L5,pyr,pyr,46.772499999999994,68.3775,31.25,62.5,1,1
9,19159,6,L5,pyr,pyr,55.55,108.26,18.75,100.0,1,1
10,19159,7,L5,pyr,pyr,52.653333333333336,59.29866666666667,33.333333333333336,40.0,1,1
11,19159,14,L5,pyr,pyr,40.41866666666667,67.66933333333333,26.666666666666668,86.66666666666667,1,2
12,19159,15,L5,pyr,pyr,46.93454545454545,88.77090909090909,54.54545454545455,0.0,1,2
13,19159,20,L5,pyr,pyr,54.12,53.03733333333334,26.666666666666668,20.0,1,2
14,19159,22,L5,pyr,pyr,48.90352941176471,129.0141176470588,5.882352941176471,100.0,1,2
15,20387,3,L5,pyr,pyr,62.040000000000006,97.41818181818184,18.181818181818183,36.36363636363637,1,1
16,20387,4,L5,pyr,pyr,47.884,87.96799999999999,40.0,60.0,1,1
